Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides PNNL SC Chip 1 B	Peptides PNNL SC Chip 1 C	Peptides PNNL SC Chip1 A	Razor + unique peptides PNNL SC Chip 1 B	Razor + unique peptides PNNL SC Chip 1 C	Razor + unique peptides PNNL SC Chip1 A	Unique peptides PNNL SC Chip 1 B	Unique peptides PNNL SC Chip 1 C	Unique peptides PNNL SC Chip1 A	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity corrected 1 PNNL SC Chip 1 B	Reporter intensity corrected 2 PNNL SC Chip 1 B	Reporter intensity corrected 3 PNNL SC Chip 1 B	Reporter intensity corrected 4 PNNL SC Chip 1 B	Reporter intensity corrected 5 PNNL SC Chip 1 B	Reporter intensity corrected 6 PNNL SC Chip 1 B	Reporter intensity corrected 7 PNNL SC Chip 1 B	Reporter intensity corrected 8 PNNL SC Chip 1 B	Reporter intensity corrected 9 PNNL SC Chip 1 B	Reporter intensity corrected 10 PNNL SC Chip 1 B	Reporter intensity corrected 1 PNNL SC Chip 1 C	Reporter intensity corrected 2 PNNL SC Chip 1 C	Reporter intensity corrected 3 PNNL SC Chip 1 C	Reporter intensity corrected 4 PNNL SC Chip 1 C	Reporter intensity corrected 5 PNNL SC Chip 1 C	Reporter intensity corrected 6 PNNL SC Chip 1 C	Reporter intensity corrected 7 PNNL SC Chip 1 C	Reporter intensity corrected 8 PNNL SC Chip 1 C	Reporter intensity corrected 9 PNNL SC Chip 1 C	Reporter intensity corrected 10 PNNL SC Chip 1 C	Reporter intensity corrected 1 PNNL SC Chip1 A	Reporter intensity corrected 2 PNNL SC Chip1 A	Reporter intensity corrected 3 PNNL SC Chip1 A	Reporter intensity corrected 4 PNNL SC Chip1 A	Reporter intensity corrected 5 PNNL SC Chip1 A	Reporter intensity corrected 6 PNNL SC Chip1 A	Reporter intensity corrected 7 PNNL SC Chip1 A	Reporter intensity corrected 8 PNNL SC Chip1 A	Reporter intensity corrected 9 PNNL SC Chip1 A	Reporter intensity corrected 10 PNNL SC Chip1 A	Reporter intensity 1 PNNL SC Chip 1 B	Reporter intensity 2 PNNL SC Chip 1 B	Reporter intensity 3 PNNL SC Chip 1 B	Reporter intensity 4 PNNL SC Chip 1 B	Reporter intensity 5 PNNL SC Chip 1 B	Reporter intensity 6 PNNL SC Chip 1 B	Reporter intensity 7 PNNL SC Chip 1 B	Reporter intensity 8 PNNL SC Chip 1 B	Reporter intensity 9 PNNL SC Chip 1 B	Reporter intensity 10 PNNL SC Chip 1 B	Reporter intensity 1 PNNL SC Chip 1 C	Reporter intensity 2 PNNL SC Chip 1 C	Reporter intensity 3 PNNL SC Chip 1 C	Reporter intensity 4 PNNL SC Chip 1 C	Reporter intensity 5 PNNL SC Chip 1 C	Reporter intensity 6 PNNL SC Chip 1 C	Reporter intensity 7 PNNL SC Chip 1 C	Reporter intensity 8 PNNL SC Chip 1 C	Reporter intensity 9 PNNL SC Chip 1 C	Reporter intensity 10 PNNL SC Chip 1 C	Reporter intensity 1 PNNL SC Chip1 A	Reporter intensity 2 PNNL SC Chip1 A	Reporter intensity 3 PNNL SC Chip1 A	Reporter intensity 4 PNNL SC Chip1 A	Reporter intensity 5 PNNL SC Chip1 A	Reporter intensity 6 PNNL SC Chip1 A	Reporter intensity 7 PNNL SC Chip1 A	Reporter intensity 8 PNNL SC Chip1 A	Reporter intensity 9 PNNL SC Chip1 A	Reporter intensity 10 PNNL SC Chip1 A	Reporter intensity count 1 PNNL SC Chip 1 B	Reporter intensity count 2 PNNL SC Chip 1 B	Reporter intensity count 3 PNNL SC Chip 1 B	Reporter intensity count 4 PNNL SC Chip 1 B	Reporter intensity count 5 PNNL SC Chip 1 B	Reporter intensity count 6 PNNL SC Chip 1 B	Reporter intensity count 7 PNNL SC Chip 1 B	Reporter intensity count 8 PNNL SC Chip 1 B	Reporter intensity count 9 PNNL SC Chip 1 B	Reporter intensity count 10 PNNL SC Chip 1 B	Reporter intensity count 1 PNNL SC Chip 1 C	Reporter intensity count 2 PNNL SC Chip 1 C	Reporter intensity count 3 PNNL SC Chip 1 C	Reporter intensity count 4 PNNL SC Chip 1 C	Reporter intensity count 5 PNNL SC Chip 1 C	Reporter intensity count 6 PNNL SC Chip 1 C	Reporter intensity count 7 PNNL SC Chip 1 C	Reporter intensity count 8 PNNL SC Chip 1 C	Reporter intensity count 9 PNNL SC Chip 1 C	Reporter intensity count 10 PNNL SC Chip 1 C	Reporter intensity count 1 PNNL SC Chip1 A	Reporter intensity count 2 PNNL SC Chip1 A	Reporter intensity count 3 PNNL SC Chip1 A	Reporter intensity count 4 PNNL SC Chip1 A	Reporter intensity count 5 PNNL SC Chip1 A	Reporter intensity count 6 PNNL SC Chip1 A	Reporter intensity count 7 PNNL SC Chip1 A	Reporter intensity count 8 PNNL SC Chip1 A	Reporter intensity count 9 PNNL SC Chip1 A	Reporter intensity count 10 PNNL SC Chip1 A	Sequence coverage PNNL SC Chip 1 B [%]	Sequence coverage PNNL SC Chip 1 C [%]	Sequence coverage PNNL SC Chip1 A [%]	Intensity	Intensity PNNL SC Chip 1 B	Intensity PNNL SC Chip 1 C	Intensity PNNL SC Chip1 A	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P17066;P48741	P17066;P48741	4;2	1;1	1;1	Heat shock 70 kDa protein 6;Putative heat shock 70 kDa protein 7	HSPA6;HSPA7	sp|P17066|HSP76_HUMAN Heat;sp|P48741|HSP77_HUMAN Putative	2	4	1	1	4	4	4	1	1	1	1	1	1	6.2	1.7	1.7	71.027	643	643;367	0	31.405	4866.3	3368.8	4830.9	4148.3	6833.8	3550.1	4806.9	8223.4	0	303400	4866.3	3368.8	4830.9	4148.3	6833.8	3550.1	4806.9	8223.4	0	303400	4	4	4	4	4	4	4	4	0	4	2499.9	379.73	1770.1	1870.7	3245.7	1292.8	1629.4	4155.8	0	150710	1467.2	1923.4	1932.7	1541.7	2452.7	1490.9	2345.9	2426.2	0	87543	899.27	1065.6	1128.2	735.9	1135.4	766.39	831.67	1641.5	0	65148	2499.9	379.73	1770.1	1870.7	3245.7	1292.8	1629.4	4155.8	0	150710	1467.2	1923.4	1932.7	1541.7	2452.7	1490.9	2345.9	2426.2	0	87543	899.27	1065.6	1128.2	735.9	1135.4	766.39	831.67	1641.5	0	65148	1	1	1	1	1	1	1	1	0	1	2	2	2	2	2	2	2	2	0	2	1	1	1	1	1	1	1	1	0	1	6.2	6.2	6.2	118540000	48153000	37381000	33009000	4				305	2361;2784;4274;4434	False;False;False;True	2379;2805;4312;4474	5491;5492;5493;6465;6466;6467;9936;9937;9938;9939;9940;9941;10354;10355;10356;10357	5653;5654;5655;6664;6665;6666;10257;10258;10259;10260;10261;10262;10263;10700;10701;10702;10703	5653;6664;10262;10701		
P17096	P17096	1	1	1	High mobility group protein HMG-I/HMG-Y	HMGA1	sp|P17096|HMGA1_HUMAN High	1	1	1	1	1	1	0	1	1	0	1	1	0	15	15	15	11.676	107	107	0.001233	10.395	2772.7	2546.3	4872.4	3641.1	5425	3898.3	3179.6	5103.4	0	177660	2772.7	2546.3	4872.4	3641.1	5425	3898.3	3179.6	5103.4	0	177660	6	4	6	6	6	5	5	6	0	6	1280	445.35	2323.6	1872.1	3429.4	1843.7	1611	2902.4	0	92073	1492.7	2101	2548.8	1768.9	1995.7	2054.5	1568.6	2200.9	0	85591	0	0	0	0	0	0	0	0	0	0	1280	445.35	2323.6	1872.1	3429.4	1843.7	1611	2902.4	0	92073	1492.7	2101	2548.8	1768.9	1995.7	2054.5	1568.6	2200.9	0	85591	0	0	0	0	0	0	0	0	0	0	3	1	3	3	3	2	2	3	0	3	3	3	3	3	3	3	3	3	0	3	0	0	0	0	0	0	0	0	0	0	15	15	0	2617500	1636200	981310	0	6				306	2473	TRUE	2491	5743;5744;5745	5912;5913;5914;5915;5916;5917	5917		
P17174	P17174	2	2	2	"Aspartate aminotransferase, cytoplasmic"	GOT1	sp|P17174|AATC_HUMAN Aspartate	1	2	2	2	2	1	1	2	1	1	2	1	1	7.3	7.3	7.3	46.247	413	413	0	13.839	3893.8	2471.4	2459.1	1895.4	5051.7	4425.2	3814.2	5274.8	0	157850	3893.8	2471.4	2459.1	1895.4	5051.7	4425.2	3814.2	5274.8	0	157850	4	3	4	3	4	4	4	3	0	4	2258.4	453.69	1601.1	1388	2594	1866.4	1611.5	1366.9	0	45985	873.88	1025.4	543.66	507.42	1720.2	1442.3	1320.2	2061	0	57980	761.56	992.3	314.38	0	737.47	1116.4	882.54	1846.9	0	53884	2258.4	453.69	1601.1	1388	2594	1866.4	1611.5	1366.9	0	45985	873.88	1025.4	543.66	507.42	1720.2	1442.3	1320.2	2061	0	57980	761.56	992.3	314.38	0	737.47	1116.4	882.54	1846.9	0	53884	2	1	2	2	2	2	2	1	0	2	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	7.3	2.2	2.2	3256000	1731300	784550	740140	4				307	2090;4490	True;True	2108;4530	4885;10493;10494;10495	5038;10853;10854;10855	5038;10854		
P17612;P22694;P22612	P17612;P22694;P22612	2;2;1	2;2;1	2;2;1	cAMP-dependent protein kinase catalytic subunit alpha;cAMP-dependent protein kinase catalytic subunit beta;cAMP-dependent protein kinase catalytic subunit gamma	PRKACA;PRKACB;PRKACG	sp|P17612|KAPCA_HUMAN cAMP-dependent;sp|P22694|KAPCB_HUMAN cAMP-dependent;sp|P22612|KAPCG_HUMAN cAMP-dependent	3	2	2	2	2	2	0	2	2	0	2	2	0	4.8	4.8	4.8	40.589	351	351;351;351	0	12.401	3961.5	2370.5	3643.3	4308.2	3545.1	2920.3	4198.4	4538.7	0	144010	3961.5	2370.5	3643.3	4308.2	3545.1	2920.3	4198.4	4538.7	0	144010	3	3	3	3	3	3	3	3	0	3	2715.8	1110.1	2760.8	2964.7	2258.9	1436.8	2964.3	3965.5	0	109890	1245.7	1260.4	882.49	1343.5	1286.2	1483.5	1234.1	573.2	0	34121	0	0	0	0	0	0	0	0	0	0	2715.8	1110.1	2760.8	2964.7	2258.9	1436.8	2964.3	3965.5	0	109890	1245.7	1260.4	882.49	1343.5	1286.2	1483.5	1234.1	573.2	0	34121	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	0	2	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	4.8	4.8	0	4038800	3170200	868550	0	4				308	3165;4423	True;True	3192;4463	7375;7376;10333;10334	7602;7603;10678;10679	7602;10678		
P17655	P17655	3	3	3	Calpain-2 catalytic subunit	CAPN2	sp|P17655|CAN2_HUMAN Calpain-2	1	3	3	3	1	1	3	1	1	3	1	1	3	4.9	4.9	4.9	79.994	700	700	0	21.863	2251	4112.2	2820.2	3388.6	11782	4782.3	4346.7	8652.2	0	244330	2251	4112.2	2820.2	3388.6	11782	4782.3	4346.7	8652.2	0	244330	3	5	5	5	5	5	5	5	0	5	0	567.87	517.1	877.8	3235.3	518.39	395.17	1389.3	0	34070	711.15	1058.4	853.68	748.4	4812.7	1322.6	1288.6	1169	0	27755	1539.9	2485.9	1449.4	1762.4	3733.8	2941.2	2662.9	6093.9	0	182500	0	567.87	517.1	877.8	3235.3	518.39	395.17	1389.3	0	34070	711.15	1058.4	853.68	748.4	4812.7	1322.6	1288.6	1169	0	27755	1539.9	2485.9	1449.4	1762.4	3733.8	2941.2	2662.9	6093.9	0	182500	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	2	3	3	3	3	3	3	3	0	3	2.6	2.6	4.9	11362000	4187900	3137600	4036800	5				309	234;3621;3709	True;True;True	236;3652;3741	549;8397;8398;8399;8579	565;8658;8659;8660;8844	565;8660;8844		
P17812	P17812	1	1	1	CTP synthase 1	CTPS1	sp|P17812|PYRG1_HUMAN CTP	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	66.69	591	591	0.0011377	7.4124	295.29	489.17	1586.6	1551.7	2106.6	1836.6	1354.7	2125.1	0	82566	295.29	489.17	1586.6	1551.7	2106.6	1836.6	1354.7	2125.1	0	82566	1	1	2	2	3	3	2	3	0	3	0	0	885.45	894.26	1315.4	849.62	602.55	746.68	0	34199	0	489.17	701.11	657.46	488.08	643.83	752.18	674.64	0	20818	295.29	0	0	0	303.14	343.14	0	703.81	0	27549	0	0	885.45	894.26	1315.4	849.62	602.55	746.68	0	34199	0	489.17	701.11	657.46	488.08	643.83	752.18	674.64	0	20818	295.29	0	0	0	303.14	343.14	0	703.81	0	27549	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	0	1	0	1	2	2	2	2587800	970690	1003500	613630	3				310	1763	TRUE	1780	4116;4117;4118	4254;4255;4256	4254		
P17844	P17844	20	20	14	Probable ATP-dependent RNA helicase DDX5	DDX5	sp|P17844|DDX5_HUMAN Probable	1	20	20	14	17	15	15	17	15	15	11	10	11	33.4	33.4	23.1	69.147	614	614	0	173.76	83051	85439	72844	84059	119600	90367	91897	176550	3722	5718800	83051	85439	72844	84059	119600	90367	91897	176550	3722	5718800	46	45	46	48	49	48	47	48	8	49	31184	18835	28683	36093	51024	30470	33653	67669	2316.9	2066500	22875	34117	22000	24971	27528	31382	28730	55809	1405.2	1884000	28992	32487	22161	22994	41048	28515	29514	53075	0	1768300	31184	18835	28683	36093	51024	30470	33653	67669	2316.9	2066500	22875	34117	22000	24971	27528	31382	28730	55809	1405.2	1884000	28992	32487	22161	22994	41048	28515	29514	53075	0	1768300	17	15	18	18	18	17	17	18	5	18	13	14	13	14	14	14	13	13	3	14	16	16	15	16	17	17	17	17	0	17	27	26.5	24.3	231950000	89423000	68043000	74484000	50				311	311;879;1094;1509;1589;1752;1894;2378;2488;2691;2786;3104;3414;3511;3572;3937;4148;4189;4281;4803	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	315;889;1109;1526;1606;1769;1910;2396;2506;2712;2807;3131;3444;3541;3603;3971;4184;4226;4319;4847	727;728;729;730;731;2047;2048;2049;2609;3529;3530;3531;3720;3721;3722;4083;4084;4085;4431;4432;5530;5531;5532;5777;5778;6253;6254;6255;6256;6471;6472;6473;7240;7241;7242;7953;7954;7955;8176;8177;8178;8308;8309;9111;9651;9652;9729;9954;9955;11210	748;749;750;751;752;2134;2135;2136;2709;3650;3651;3652;3844;3845;3846;4220;4221;4222;4575;4576;5693;5694;5695;5950;5951;6445;6446;6447;6448;6670;6671;6672;7459;7460;7461;8199;8200;8201;8433;8434;8435;8568;8569;9397;9963;9964;10042;10276;10277;11585	752;2136;2709;3652;3844;4222;4575;5695;5951;6448;6670;7459;8200;8433;8568;9397;9963;10042;10276;11585		
P17858;P08237	P17858;P08237	3;2	3;2	2;1	"ATP-dependent 6-phosphofructokinase, liver type;ATP-dependent 6-phosphofructokinase, muscle type"	PFKL;PFKM	sp|P17858|PFKAL_HUMAN ATP-dependent;sp|P08237|PFKAM_HUMAN ATP-dependent	2	3	3	2	3	2	0	3	2	0	2	2	0	4.6	4.6	3.5	85.018	780	780;780	0	22.123	8609.5	5631.4	10789	8487.8	15268	8715.2	6210.1	7702.5	0	215960	8609.5	5631.4	10789	8487.8	15268	8715.2	6210.1	7702.5	0	215960	4	5	5	5	5	4	4	5	0	5	7482.4	3763	8149.4	6972.9	11783	6005.2	4759.1	5938.6	0	154010	1127.1	1868.5	2639.3	1514.8	3484.6	2710	1451	1764	0	61956	0	0	0	0	0	0	0	0	0	0	7482.4	3763	8149.4	6972.9	11783	6005.2	4759.1	5938.6	0	154010	1127.1	1868.5	2639.3	1514.8	3484.6	2710	1451	1764	0	61956	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	2	3	3	0	3	1	2	2	2	2	2	1	2	0	2	0	0	0	0	0	0	0	0	0	0	4.6	3.5	0	12915000	9782700	3132200	0	5				312	1695;4210;4719	True;True;True	1712;4247;4761	3955;9779;9780;11012;11013	4089;10093;10094;11386;11387	4089;10093;11387		
P17931	P17931	5	5	5	Galectin-3	LGALS3	sp|P17931|LEG3_HUMAN Galectin-3	1	5	5	5	4	3	4	4	3	4	4	3	4	15.6	15.6	15.6	26.152	250	250	0	69.774	21858	21349	31051	34844	28062	25290	19595	29470	562.95	1015100	21858	21349	31051	34844	28062	25290	19595	29470	562.95	1015100	11	11	11	11	11	11	11	11	2	11	10831	5670.8	19642	22217	15452	14110	10557	13189	273.83	425710	2718.9	4561.6	3700.9	5206.3	5059.7	4905.5	3384.4	8193.1	0	267360	8307.6	11117	7707.5	7420.1	7550.5	6274.3	5652.8	8087.7	289.12	322030	10831	5670.8	19642	22217	15452	14110	10557	13189	273.83	425710	2718.9	4561.6	3700.9	5206.3	5059.7	4905.5	3384.4	8193.1	0	267360	8307.6	11117	7707.5	7420.1	7550.5	6274.3	5652.8	8087.7	289.12	322030	4	4	4	4	4	4	4	4	1	4	3	3	3	3	3	3	3	3	0	3	4	4	4	4	4	4	4	4	1	4	15.6	12.8	15.2	88104000	28144000	30154000	29806000	11				313	1442;1443;1798;4374;4538	True;True;True;True;True	1458;1459;1815;4414;4578	3380;3381;4211;4212;4213;10208;10209;10210;10601;10602;10603	3496;3497;4353;4354;4355;10550;10551;10552;10965;10966;10967	3496;3497;4355;10550;10966		
P17980	P17980	4	4	4	26S protease regulatory subunit 6A	PSMC3	sp|P17980|PRS6A_HUMAN 26S	1	4	4	4	3	2	3	3	2	3	3	2	3	11.8	11.8	11.8	49.203	439	439	0	29.471	2920.1	3709.2	3828.9	2749.3	3807.2	2358.2	1532.5	2822.2	0	92282	2920.1	3709.2	3828.9	2749.3	3807.2	2358.2	1532.5	2822.2	0	92282	4	5	6	4	5	3	2	2	0	6	1007.6	758.75	616.54	1012.1	447.88	466.68	344.43	308.31	0	26535	0	0	0	0	0	0	0	0	0	0	1912.4	2950.4	3212.4	1737.2	3359.3	1891.5	1188.1	2513.9	0	65747	1007.6	758.75	616.54	1012.1	447.88	466.68	344.43	308.31	0	26535	0	0	0	0	0	0	0	0	0	0	1912.4	2950.4	3212.4	1737.2	3359.3	1891.5	1188.1	2513.9	0	65747	2	2	2	2	1	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	2	3	4	2	4	2	1	1	0	4	9.6	5.9	9.3	6490000	1485900	0	5004100	9				314	320;2724;3492;4401	True;True;True;True	326;2745;3522;4441	757;758;6318;6319;8128;8129;8130;10288	787;788;789;6513;6514;8381;8382;8383;10632	789;6513;8383;10632		
P17987	P17987	8	8	8	T-complex protein 1 subunit alpha	TCP1	sp|P17987|TCPA_HUMAN T-complex	1	8	8	8	4	6	6	4	6	6	4	6	6	14.4	14.4	14.4	60.343	556	556	0	64.887	19760	24197	21832	18486	25407	33294	25082	47849	283.66	1457100	19760	24197	21832	18486	25407	33294	25082	47849	283.66	1457100	16	14	16	16	16	16	16	16	1	16	3640.1	1207.4	5497.1	4728.3	5896.5	3765.6	5301.7	11733	283.66	330410	5645.8	9736.2	8491	6279.7	9195.9	18927	7967.3	17866	0	483750	10474	13254	7843.9	7478	10315	10602	11813	18250	0	642900	3640.1	1207.4	5497.1	4728.3	5896.5	3765.6	5301.7	11733	283.66	330410	5645.8	9736.2	8491	6279.7	9195.9	18927	7967.3	17866	0	483750	10474	13254	7843.9	7478	10315	10602	11813	18250	0	642900	4	2	4	4	4	4	4	4	1	4	6	6	6	6	6	6	6	6	0	6	6	6	6	6	6	6	6	6	0	6	7.6	10.8	10.6	49635000	11693000	18761000	19181000	16				315	585;1185;2078;2109;2754;3334;4551;4975	True;True;True;True;True;True;True;True	591;1200;2095;2127;2775;3364;4591;5021	1372;1373;2802;2803;4858;4931;6381;6382;7780;7781;10631;10632;10633;11636;11637;11638	1436;1437;2904;2905;5010;5085;6576;6577;8020;8021;10995;10996;10997;12022;12023;12024	1436;2905;5010;5085;6577;8021;10996;12023		
P18077	P18077	5	5	5	60S ribosomal protein L35a	RPL35A	sp|P18077|RL35A_HUMAN 60S	1	5	5	5	3	2	3	3	2	3	3	2	3	34.5	34.5	34.5	12.538	110	110	0	28.371	20013	23365	14623	17381	18548	40634	17662	38903	0	1409200	20013	23365	14623	17381	18548	40634	17662	38903	0	1409200	7	6	7	7	7	7	7	7	0	7	4781.6	1075.3	2865.3	4034.4	4227.5	3379.3	4430	12547	0	470910	6650.8	12654	6008.4	7090.1	5212.5	24244	5372.3	15417	0	540610	8580.4	9635.9	5749.2	6256.8	9107.6	13010	7859.9	10940	0	397660	4781.6	1075.3	2865.3	4034.4	4227.5	3379.3	4430	12547	0	470910	6650.8	12654	6008.4	7090.1	5212.5	24244	5372.3	15417	0	540610	8580.4	9635.9	5749.2	6256.8	9107.6	13010	7859.9	10940	0	397660	2	1	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	3	3	3	3	3	3	3	3	0	3	22.7	12.7	20	40444000	15772000	11181000	13491000	8				316	188;483;612;1057;3207	True;True;True;True;True	190;489;619;1071;3235	442;443;1115;1433;1434;2509;2510;7474	456;457;1172;1502;1503;2608;2609;7706	456;1172;1502;2609;7706		
P18085	P18085	3	1	1	ADP-ribosylation factor 4	ARF4	sp|P18085|ARF4_HUMAN ADP-ribosylation	1	3	1	1	2	1	2	1	0	0	1	0	0	25.6	3.9	3.9	20.511	180	180	0.0030151	6.2675	1242.6	3136.1	2370.6	888.77	1942.3	1170	1518.1	1643.1	0	88067	1242.6	3136.1	2370.6	888.77	1942.3	1170	1518.1	1643.1	0	88067	1	1	1	1	1	1	1	1	0	1	1242.6	3136.1	2370.6	888.77	1942.3	1170	1518.1	1643.1	0	88067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1242.6	3136.1	2370.6	888.77	1942.3	1170	1518.1	1643.1	0	88067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.9	10	21.7	2174500	2174500	0	0	1				317	2072;2641;2663	False;False;True	2089;2661;2683	4846;4847;4848;6136;6193	4998;4999;5000;6319;6380	4998;6319;6380		
P18124;Q9Y4A5	P18124	8;1	8;1	8;1	60S ribosomal protein L7	RPL7	sp|P18124|RL7_HUMAN 60S	2	8	8	8	6	3	6	6	3	6	6	3	6	31	31	31	29.225	248	248;3859	0	58.303	37105	38430	30399	35276	41261	28066	29518	62623	1185.3	2063200	37105	38430	30399	35276	41261	28066	29518	62623	1185.3	2063200	18	17	17	18	17	18	16	18	3	18	16378	13925	15722	22437	21000	11823	12542	27090	311.76	896220	6947.3	9702.4	5737.6	4822.7	9256.9	5750.3	5335.3	15366	420.83	454320	13779	14802	8940.2	8017	11004	10492	11641	20167	452.73	712660	16378	13925	15722	22437	21000	11823	12542	27090	311.76	896220	6947.3	9702.4	5737.6	4822.7	9256.9	5750.3	5335.3	15366	420.83	454320	13779	14802	8940.2	8017	11004	10492	11641	20167	452.73	712660	8	7	8	8	8	8	7	8	1	8	4	4	4	4	4	4	3	4	1	4	6	6	5	6	5	6	6	6	1	6	25.4	16.1	21	87864000	29222000	22124000	36518000	18				318	162;936;1725;2516;3397;3969;4269;4598	True;True;True;True;True;True;True;True	164;947;1742;2535;3427;4003;4307;4638	376;377;378;2196;2197;2198;2199;2200;4020;4021;5832;7911;7912;9193;9920;9921;10738	387;388;389;2284;2285;2286;2287;2288;4156;4157;6006;8155;8156;8157;9483;10240;10241;11106	389;2287;4157;6006;8156;9483;10241;11106		
P18206	P18206	13	13	13	Vinculin	VCL	sp|P18206|VINC_HUMAN Vinculin	1	13	13	13	8	9	9	8	9	9	8	9	9	11.7	11.7	11.7	123.8	1134	1134	0	95.071	30445	34959	27720	24556	45297	42808	30203	45287	0	1524000	30445	34959	27720	24556	45297	42808	30203	45287	0	1524000	23	23	23	24	24	24	24	24	0	24	10237	4668	8149.9	8937.4	15180	8950.6	9559.6	15729	0	484610	10149	14778	10700	7904.1	15257	19941	10589	15102	0	539740	10060	15513	8870.2	7714.5	14861	13917	10055	14456	0	499650	10237	4668	8149.9	8937.4	15180	8950.6	9559.6	15729	0	484610	10149	14778	10700	7904.1	15257	19941	10589	15102	0	539740	10060	15513	8870.2	7714.5	14861	13917	10055	14456	0	499650	7	6	7	7	7	7	7	7	0	7	9	9	8	9	9	9	9	9	0	9	7	8	8	8	8	8	8	8	0	8	6.8	8.2	7.8	31489000	11313000	9075400	11100000	26				319	31;223;342;408;898;1231;1797;3228;3400;3746;4479;4599;4793	True;True;True;True;True;True;True;True;True;True;True;True;True	31;225;348;415;908;1246;1814;3256;3430;3778;4519;4639;4836	77;78;79;528;529;530;795;796;947;2100;2101;2900;2901;4210;7534;7535;7916;8649;8650;10462;10463;10464;10739;11186;11187;11188	79;80;81;544;545;546;828;829;990;2187;2188;3007;3008;4352;7767;7768;8161;8916;8917;10815;10816;10817;11107;11561;11562;11563	80;546;828;990;2187;3007;4352;7767;8161;8916;10815;11107;11562		
P18564	P18564	1	1	1	Integrin beta-6	ITGB6	sp|P18564|ITB6_HUMAN Integrin	1	1	1	1	0	1	1	0	1	1	0	1	1	1.1	1.1	1.1	85.935	788	788	0.010148	5.8502	3639.2	3632.2	3704.7	3370.6	2827.4	3222.6	3171.2	7141.7	0	273600	3639.2	3632.2	3704.7	3370.6	2827.4	3222.6	3171.2	7141.7	0	273600	2	2	2	2	2	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0	2321.9	2240.8	2320.1	2424.2	1512.6	2517.1	1897.9	3920.6	0	155420	1317.2	1391.4	1384.6	946.41	1314.9	705.54	1273.3	3221.1	0	118180	0	0	0	0	0	0	0	0	0	0	2321.9	2240.8	2320.1	2424.2	1512.6	2517.1	1897.9	3920.6	0	155420	1317.2	1391.4	1384.6	946.41	1314.9	705.54	1273.3	3221.1	0	118180	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1.1	1.1	7201600	0	3957200	3244400	2				320	2646	TRUE	2666	6147;6148	6333;6334	6334		
